193
30
1   RID.0 9 011 
2   RID.1 10  00 19 0 
2   RID.2 17  011 8 100 
2   RID.3 16  0000 12 000 
2   RID.4 13  00001 13 11110 
2   RID.5 15  0001 19 1 
2   RID.6 15  0000 20 00 
2   RID.7 15  0000 9 00 
2   RID.8 7  000 19 0 
2   RID.9 4  000 4 00 
2   RID.10 15  1111 8 101 
2   RID.11 16  0000 13 00000 
2   RID.12 4  11 2 11 
2   RID.13 15  0000 15 0000 
2   RID.14 19  1 19 0 
2   RID.15 20  00 15 0000 
2   RID.16 10  00 19 0 
2   RID.17 15  1010 13 011 
2   RID.18 15  0001 20 1001010 
2   RID.19 15  0000 15 0000 
2   RID.20 13  00000 10 000 
2   RID.21 11  0000 19 0 
2   RID.22 15  0000 12 000 
1   RID.23 8 000 
2   RID.24 12  101 9 11 
1   RID.25 1  10 
2   RID.26 11  00 13 000001 
2   RID.27 18  00 13 00000 
2   RID.28 14  00001 18 11 
2   RID.29 13  0000 11 00 
1   RID.30 10 000 
1   RID.31 13 00 
2   RID.32 15  0001 11 1010 
2   RID.33 1  100 5 000 
2   RID.34 4  00 4 000 
2   RID.35 15  0100 20 000 
2   RID.36 20  00000 12 000 
2   RID.37 11  0010 15 0001 
2   RID.38 13  0111 11 11 
2   RID.39 13  0111 6 11 
2   RID.40 11  0010 19 0 
2   RID.41 16  0011 12 110 
2   RID.42 11  0000 19 0 
1   RID.43 4 00 
1   RID.44 12  000 
2   RID.45 13  01111 13 111 
2   RID.46 20  0000000 15 0000 
2   RID.47 18  00 11 0000 
2   RID.48 15  0000 7 00 
2   RID.49 13  10000 15 0001 
2   RID.50 7  000 14 00000 
2   RID.51 15  0000 11 0000 
2   RID.52 12  001 7 110 
2   RID.53 19  0 11 00 
2   RID.54 6  00 1 00 
2   RID.55 15  0000 18 00 
2   RID.56 12  000 4 0 
1   RID.57 11  01 
2   RID.58 10  000 19 0 
2   RID.59 1  100 4 00 
2   RID.60 11  0000 15 0000 
2   RID.61 9  00 15 0000 
2   RID.62 20  00000 12 000 
2   RID.63 14  00000 19 0 
2   RID.64 13  0111 15 1111 
2   RID.65 14  00000 19 0 
2   RID.66 11  0000 18 00 
2   RID.67 18  00 15 0000 
2   RID.68 4  00 4 0 
2   RID.69 13  10 20 000101 
2   RID.70 6  11 4 11 
2   RID.71 12  000 19 0 
2   RID.72 4  00 4 000 
1   RID.73 8 00 
2   RID.74 3  1 4 00 
2   RID.75 9  00 15 0000 
2   RID.76 12  010 4 000 
2   RID.77 10  000 17 000 
2   RID.78 15  0000 13 00000 
2   RID.79 6  00 13 00000 
2   RID.80 10  000 15 0000 
2   RID.81 15  0001 11 1010 
1   RID.82 6  00 
2   RID.83 13  00000 15 0000 
2   RID.84 12  000 16 0000 
2   RID.85 15  0000 15 0000 
2   RID.86 12  000 15 0000 
2   RID.87 15  0001 10 10 
2   RID.88 8  000 11 0000 
2   RID.89 19  0 11 0000 
2   RID.90 10  111 13 1111 
1   RID.91 4  101 
2   RID.92 9  00 15 0000 
2   RID.93 15  0001 11 10 
2   RID.94 13  000000 14 00000 
2   RID.95 15  0100 9 01 
2   RID.96 20  0001010 15 0001 
1   RID.97 11  0000 
2   RID.98 13  01111 8 101 
2   RID.99 7  110 13 01111 
2   RID.100 10  111 15 1111 
2   RID.101 13  0000 13 00 
2   RID.102 10  000 12 000 
2   RID.103 18  11 15 1001 
1   RID.104 4 10 
1   RID.105 4 01 
2   RID.106 4  00 3 0 
2   RID.107 22  0000000 13 00000 
2   RID.108 19  0 12 000 
2   RID.109 11  00 18 00 
2   RID.110 13  0000 15 0000 
1   RID.111 1 100 
2   RID.112 10  000 19 0 
2   RID.113 10  000 19 0 
2   RID.114 15  0001 15 1001 
1   RID.115 4  00 
2   RID.116 19  0 13 00000 
1   RID.117 8 000 
2   RID.118 18  11 13 1000 
1   RID.119 1  000 
2   RID.120 5  000 4 00 
2   RID.121 24  1011110 12 001 
2   RID.122 3  0 6 10 
2   RID.123 14  11111 10 110 
2   RID.124 20  0001010 13 000 
1   RID.125 12  010 
2   RID.126 4  0 1 100 
2   RID.127 16  0011 15 1001 
2   RID.128 9  00 12 010 
2   RID.129 1  111 7 111 
2   RID.130 10  00 19 0 
2   RID.131 15  0000 19 0 
2   RID.132 13  10000 11 001 
2   RID.133 15  0000 13 00 
1   RID.134 7  111 
2   RID.135 15  0000 20 00 
2   RID.136 7  000 19 0 
1   RID.137 6 00 
2   RID.138 15  0000 13 00000 
2   RID.139 13  00000 11 000 
2   RID.140 16  0000 12 000 
2   RID.141 11  0000 17 000 
2   RID.142 19  1 18 01 
2   RID.143 25  001110 12 001 
2   RID.144 19  1 19 1 
1   RID.145 4 100 
1   RID.146 11 0000 
2   RID.147 14  00000 19 0 
2   RID.148 10  00 15 0000 
2   RID.149 12  001 15 1111 
1   RID.150 10  000 
2   RID.151 4  00 3 0 
2   RID.152 16  0000 15 0000 
2   RID.153 18  00 10 000 
2   RID.154 15  0000 12 000 
2   RID.155 11  0000 19 0 
2   RID.156 17  000 13 00 
2   RID.157 13  00000 11 0000 
2   RID.158 19  0 11 00 
2   RID.159 12  010 11 001 
2   RID.160 11  0010 15 0001 
2   RID.161 13  00 6 00 
2   RID.162 13  000 10 00 
2   RID.163 13  0111 10 11 
2   RID.164 13  00000 18 00 
2   RID.165 15  0000 13 0000 
2   RID.166 15  0001 18 11 
2   RID.167 15  1111 13 11 
2   RID.168 13  00000 10 000 
2   RID.169 13  00000 13 00000 
2   RID.170 10  000 13 00000 
2   RID.171 11  0000 13 00 
1   RID.172 4 01 
2   RID.173 19  1 13 10000 
2   RID.174 12  000 19 0 
2   RID.175 12  010 13 00000 
2   RID.176 15  0001 11 10 
2   RID.177 14  11111 10 11 
1   RID.178 4 100 
1   RID.179 4 00 
2   RID.180 7  111 1 111 
2   RID.181 17  011 13 10000 
2   RID.182 11  0010 15 0001 
2   RID.183 7  000 15 0001 
1   RID.184 11  00 
2   RID.185 13  00000 13 00 
2   RID.186 8  01 16 1011 
2   RID.187 19  1 13 10000 
2   RID.188 15  0000 13 00000 
2   RID.189 13  00000 6 000 
2   RID.190 4  00 3 0 
2   RID.191 13  0111 10 11 
1   RID.192 7  00 
