Number of Haplotypes 20
1   RID.0 11 011 
1   RID.1 14  11 
2   RID.2 2  011001 15 100110 
2   RID.3 9  10000 15 011000 
2   RID.4 15  000110 9 00011 
1   RID.5 13 11 
2   RID.6 9  00011 15 100110 
2   RID.7 14  11 9 10000 
2   RID.8 12  001 2 11111 
2   RID.9 2  111111 11 100 
2   RID.10 14  000011 10 1011 
2   RID.11 9  00 16 00110 
2   RID.12 13  11 14 11 
2   RID.13 11  100 14 01111 
2   RID.14 1  10 16 00110 
2   RID.15 14  11 9 10 
2   RID.16 19  10 12 011 
2   RID.17 13  01 9 11100 
2   RID.18 5  1100 14 01 
2   RID.19 13  01 14 11111 
2   RID.20 14  11111 9 11101 
2   RID.21 9  01101 14 11 
2   RID.22 6  100 14 01 
2   RID.23 15  011000 11 000 
2   RID.24 16  00110 7 000 
2   RID.25 14  11 7 100 
2   RID.26 10  0011 14 111 
2   RID.27 9  01101 9 11011 
2   RID.28 19  00 10 0000 
2   RID.29 8  000 15 000110 
2   RID.30 11  0001 19 10 
2   RID.31 14  00001 14 11 
2   RID.32 14  111 8 101 
2   RID.33 14  00001 9 10011 
2   RID.34 1  10 13 01 
2   RID.35 14  000011 10 1011 
2   RID.36 13  01 9 11101 
2   RID.37 9  011 10 1100 
2   RID.38 10  0011 14 100011 
2   RID.39 7  100 11 011 
2   RID.40 2  1000011 11 100 
2   RID.41 14  11 14 10 
2   RID.42 9  00011 14 100 
2   RID.43 11  0111 2 1110010 
2   RID.44 15  000110 14 01 
2   RID.45 9  01101 9 11110 
2   RID.46 16  11000 10 0000 
2   RID.47 9  11111 14 11111 
2   RID.48 10  1100 11 000 
1   RID.49 13 01 
2   RID.50 10  1000 1 1 
2   RID.51 16  00110 11 011 
2   RID.52 10  0011 14 100 
2   RID.53 16  00110 7 000 
2   RID.54 1  1 11 000 
2   RID.55 12  001 15 111000 
2   RID.56 14  111111 9 11101 
2   RID.57 9  10000 16 01000 
2   RID.58 11  011 8 100 
2   RID.59 14  11 1 1 
2   RID.60 11  000 9 00 
2   RID.61 14  000 6 010 
2   RID.62 2  11111 10 1101 
2   RID.63 11  011 2 11100 
2   RID.64 9  10000 11 000 
2   RID.65 9  10000 16 01000 
2   RID.66 8  10 14 01 
